"Step","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MIN","bolivia-ACPPowerModel-h96-2024-05-18T17:06:09.485 - metrics/training_loss__MAX"
"821","304905.723298661","304905.723298661","304905.723298661"
"823","301407.4913020622","301407.4913020622","301407.4913020622"
"825","314949.1486867774","314949.1486867774","314949.1486867774"
"827","315266.3037053136","315266.3037053136","315266.3037053136"
"829","305309.3278042287","305309.3278042287","305309.3278042287"
"831","313323.3757965675","313323.3757965675","313323.3757965675"
"833","314236.0135340432","314236.0135340432","314236.0135340432"
"835","313260.87298118783","313260.87298118783","313260.87298118783"
"837","311268.5368413084","311268.5368413084","311268.5368413084"
"839","301373.12872009067","301373.12872009067","301373.12872009067"
"841","302581.41806603025","302581.41806603025","302581.41806603025"
"843","309943.88813296123","309943.88813296123","309943.88813296123"
"845","316237.5465417354","316237.5465417354","316237.5465417354"
"847","314825.33773669536","314825.33773669536","314825.33773669536"
"849","310808.36440612224","310808.36440612224","310808.36440612224"
"851","306169.50564282795","306169.50564282795","306169.50564282795"
"853","308690.33726271684","308690.33726271684","308690.33726271684"
"855","307432.5579140257","307432.5579140257","307432.5579140257"
"857","312705.42174653243","312705.42174653243","312705.42174653243"
"859","315397.8098951736","315397.8098951736","315397.8098951736"
"861","315369.22397667565","315369.22397667565","315369.22397667565"
"863","308512.79551799706","308512.79551799706","308512.79551799706"
"865","311838.9590056233","311838.9590056233","311838.9590056233"
"867","305050.72518116556","305050.72518116556","305050.72518116556"
"869","313780.9714831737","313780.9714831737","313780.9714831737"
"871","306625.6604952758","306625.6604952758","306625.6604952758"
"873","308876.9173859067","308876.9173859067","308876.9173859067"
"875","305849.9126678444","305849.9126678444","305849.9126678444"
"877","308665.07524336886","308665.07524336886","308665.07524336886"
"879","306997.85298453516","306997.85298453516","306997.85298453516"
"881","304743.5565511222","304743.5565511222","304743.5565511222"
"883","311022.74784599553","311022.74784599553","311022.74784599553"
"885","310065.23546568636","310065.23546568636","310065.23546568636"
"887","306923.15321795386","306923.15321795386","306923.15321795386"
"889","304200.1177621549","304200.1177621549","304200.1177621549"
"891","303850.90566439886","303850.90566439886","303850.90566439886"
"893","310814.64492465544","310814.64492465544","310814.64492465544"
"895","317120.68474644935","317120.68474644935","317120.68474644935"
"897","307455.75605696574","307455.75605696574","307455.75605696574"
"899","309283.1979431911","309283.1979431911","309283.1979431911"
"901","315063.6320042571","315063.6320042571","315063.6320042571"
"903","301315.1631553002","301315.1631553002","301315.1631553002"
